name, event, datetime
М,с iPhone,Sun Jul 26 21:41:58 2020
М,ONLINE,Sun Jul 26 21:44:55 2020
М,с телефона,Sun Jul 26 21:51:14 2020
А,с браузера,Sun Jul 26 22:12:11 2020
А,ONLINE,Sun Jul 26 22:18:08 2020
А,с телефона,Sun Jul 26 22:28:11 2020
А,ONLINE,Sun Jul 26 22:33:15 2020
А,с браузера,Sun Jul 26 22:38:14 2020
М,ONLINE,Sun Jul 26 23:39:20 2020
М,с iPhone,Mon Jul 27 00:04:10 2020
М,ONLINE,Mon Jul 27 00:44:47 2020
М,с iPhone,Mon Jul 27 00:49:47 2020
